          Name    4-char code  Latitude     Longitude   Elevation(m)
          GORDO_rest  0066    -15.401000    -55.993000    196.000000
         Terra_Santa  0067     -9.927222    -55.961388    200.000000
            TV_Tower  0068    -16.000000    -47.900002   1112.000000
            Missoula  0069     46.916668   -114.083336    976.000000
          Owens_Lake  0070     36.487778   -117.870697   1103.000000
          Capo_Verde  0071     16.732500    -22.935499     60.000000
         Ouagadougou  0072     12.424130     -1.487230    302.000000
                UCSB  0073     34.415428   -119.845360     33.000000
             Jug_Bay  0074     38.766666    -76.778099     35.000000
                SERC  0075     38.888901    -76.555795     36.500000
        Burtonsville  0076     39.093714    -76.949881    140.000000
        Gaithersburg  0077     39.133335    -77.208336    139.000000
            La_Jolla  0078     32.868460   -117.251130     80.000000
       NS_OJP_BOREAS  0079     55.926998    -98.620003    282.000000
       SS_OJP_BOREAS  0080     53.916000   -104.690000    500.000000
              Kasama  0081    -10.216970     31.136159   1392.000000
             Boulder  0082     39.991466   -105.260832   1659.000000
             McMurdo  0083    -77.625000    162.883331     75.000000
           Barcelona  0084     41.389250      2.112060    125.000000
             OAS-SSA  0085     53.630000   -106.200000    587.000000
             OBS-SSA  0086     53.985000   -105.120000    602.000000
         CANDLE_LAKE  0087     53.733000   -105.267000    503.000000
         Paddockwood  0088     53.507889   -105.561817    481.000000
  Hong_Kong_Hok_Tsui  0089     22.209700    114.258000     80.000000
          SEDE_BOKER  0090     30.855000     34.782222    480.000000
             Madison  0091     43.070000    -89.410000    326.000000
    Tuxtla_Gutierrez  0092     16.754722    -93.152222    590.000000
           Tenosique  0093     17.487500    -91.425556     20.000000
       Trinidad_Head  0094     41.053920   -124.151020    105.000000
          Dead_Horse  0095     69.428333   -148.698333    332.000000
              CARTEL  0096     45.379754    -71.931330    251.000000
             Toronto  0097     43.790000    -79.470000    186.000000
         North_Slope  0098     69.627333   -148.666500    100.000000
               Mongu  0099    -15.253611     23.150833   1047.000000
          El_Refugio  0100    -14.766388    -62.034722    225.000000
          SANTA_CRUZ  0101    -17.802133    -63.177717    442.000000
        Campo_Grande  0102    -20.450000    -54.616667    551.000000
          Uberlandia  0103    -18.900000    -48.283330    864.000000
             Alianca  0104    -14.733333    -47.533333   1011.000000
         CAMPO_VERDE  0105    -15.561667    -55.175000    745.000000
            Pantanal  0106    -16.395500    -56.621833    140.000000
         Potosi_Mine  0107     -9.230920    -62.863328    124.000000
     Repressa_Samuel  0108     -8.755167    -63.459333    100.000000
         Flor_De_Oro  0109    -13.553056    -61.013889    225.000000
         Banizoumbou  0110     13.541167      2.664750    250.000000
               Lanai  0111     20.735000   -156.921667     20.000000
      Coconut_Island  0112     21.432900   -157.789717      2.000000
               LANAI  0113     20.826150   -156.985000    133.000000
            OceolaNF  0114     30.205278    -82.442778     51.000000
            JonesERC  0115     31.230830    -84.471111     50.000000
         TallTimbers  0116     30.664167    -84.238890     63.000000
       OkefenokeeNWR  0117     30.741111    -82.128611     47.000000
             Bermuda  0118     32.370000    -64.696111     10.000000
        Dry_Tortugas  0119     24.628056    -82.871944      3.000000
            JUNGFRAU  0120     46.547480      7.984993   3564.000000
    Ascension_Island  0121     -7.976389    -14.414722     30.000000
           Windsor_B  0122     42.283000    -83.083000    200.000000
            Barbados  0123     13.148575    -59.624122    112.000000
              Tahiti  0124    -17.576900   -149.606300     98.000000
                MALE  0125      4.191667     73.529167      2.000000
             Tamihua  0126     21.260717    -97.442450     10.000000
              Barrow  0127     71.312200   -156.665000      8.000000
          T0_MAX_MEX  0128     19.489944    -99.148500   2257.000000
          Quarzazate  0129     30.939000     -6.909000   1150.000000
            Cartel_X  0130     45.379333    -71.931333    300.000000
    REUNION_ST_DENIS  0131    -20.901390     55.484740     93.000000
            Tromelin  0132    -15.889167     54.517333      7.000000
           Rame_Head  0133     50.317132     -4.219809    105.000000
               Dakar  0134     14.394167    -16.958611     21.000000
               CRETE  0135     35.337667     25.667833    140.000000
           Guadeloup  0136     16.224920    -61.528378     39.000000
          Aire_Adour  0137     43.700000      0.250000     80.000000
               Miami  0138     25.722920    -80.279720     32.000000
            Sterling  0139     38.983330    -77.466670     85.000000
          Sandy_Hook  0140     40.448056    -73.993330      4.000000
           BONDVILLE  0141     40.053333    -88.371944    212.000000
              Kaloma  0142    -14.860000     24.827500   1230.000000
               Mfuwe  0143    -13.256667     31.930833    550.000000
            MISR-JPL  0144     34.199000   -118.174390    367.000000
             Senanga  0145    -16.108889     23.293333   1025.000000
          Los_Fieros  0146    -14.550000    -60.616667    734.000000
       LOS_FIEROS_98  0147    -14.556000    -60.929000    208.000000
            NEW_YORK  0148     40.770000    -74.000000     10.000000
             Zambezi  0149    -13.533167     23.107194   1073.000000
            Cheritan  0150     37.289478    -75.971778      5.000000
          Las_Cardes  0151    -30.250833    -71.257778    280.000000
           CUIABA_01  0152    -15.500000    -56.000000    250.000000
              Zenith  0153     37.350000    -70.010000      0.000000
         Bratts_Lake  0154     50.204238   -104.713013    586.700000
           Tombstone  0155     31.742000   -110.050000   1408.000000
           CUIABA_02  0156    -15.500000    -56.000000    250.000000
         Dalanzadgad  0157     43.577222    104.419167   1470.000000
            Ulaangom  0158     49.973035     92.078183    944.000000
              Venise  0159     45.313900     12.508300     10.000000
          T1_MAX_MEX  0160     19.703067    -98.981950   2272.000000
              Joberg  0161    -26.186133     28.029167   1736.000000
              Manaus  0162     -2.599080    -60.038640     93.000000
           Windsor_M  0163     42.170000    -82.870000    190.000000
              Xanthi  0164     41.146767     24.918950     54.000000
         Krasnoyarsk  0165     55.983333     92.766667    202.000000
         San_Nicolas  0166     33.256889   -119.486972    133.000000
             Sesheke  0167    -17.480830     24.303889    951.000000
               Izana  0168     28.309320    -16.499060   2401.000000
            Tenerife  0169     28.033333    -16.633333     52.000000
          Lunar_Lake  0170     38.390083   -115.988383   1749.000000
               Teide  0171     28.270000    -16.639000   3555.000000
         Sioux_Falls  0172     43.736481    -96.625991    505.000000
       Walker_Branch  0173     35.958333    -84.287500    365.000000
            Niabrara  0174     42.764833   -100.020000    730.000000
              Egbert  0175     44.231543    -79.781414    264.000000
               Ispra  0176     45.803050      8.626700    235.000000
               Mainz  0177     49.999000      8.300000    150.000000
          Ben_McDhui  0178    -30.710833     27.617500   2352.000000
          Brookhaven  0179     40.866000    -72.884700     37.000000
       Saturn_Island  0180     48.775252   -123.128177    193.000000
              Latoya  0181    -15.678133     23.299883   1064.000000
          Kaashidhoo  0182      4.965000     73.466000     10.000000
             Surinam  0183      5.800000    -55.200000     12.000000
              Oyster  0184     37.295044    -75.933192      8.700000
          NCU_Taiwan  0185     24.967662    121.187508    171.000000
              Ilorin  0186      8.484100      4.674500    400.000000
          Concepcion  0187    -16.138167    -62.028000    500.000000
      Dongsha_Island  0188     20.698556    116.728833      5.000000
         Rogers_Lake  0189     34.970000   -117.830000      0.000000
            Chao_Jou  0190     22.513056    120.529167     12.000000
               Arica  0191    -18.471667    -70.313333     25.000000
       Tinga_Tingana  0192    -28.975833    139.990933     38.000000
            Monclova  0193     25.950000   -101.470000   1714.000000
      Aguascalientes  0194     21.700000   -102.320000   1861.000000
             Nangili  0195    -14.877900     23.074300      0.000000
              Moombo  0196    -15.068600     23.167400      0.000000
        Namushakende  0197    -15.581100     23.303800      0.000000
              LUKULU  0198    -14.393700     23.248500      0.000000
         Lukulu_West  0199    -14.385200     23.243600      0.000000
      Mission_Lukulu  0200    -14.385200     23.243600      0.000000
         Chitokoloki  0201    -13.834100     23.209600      0.000000
              Sianda  0202    -15.582600     23.298300      0.000000
              Litoya  0203    -15.677000     23.300000      0.000000
       SENANGA_SOUTH  0204    -16.150000     23.297900      0.000000
       senanga_north  0205    -16.078000     23.311700      0.000000
               Sioma  0206    -16.598900     23.501000      0.000000
           Kalongola  0207    -16.245600     23.237600      0.000000
             Silumbu  0208    -16.923900     23.872200      0.000000
     MCO-Hanimaadhoo  0209      6.776350     73.183183     13.000000
               Kabwe  0210    -14.406667     28.460500      0.000000
           NASA_LaRC  0211     37.104960    -76.378640      5.000000
         Kashinakaji  0212    -13.000000     24.466667      0.000000
            Shikoswe  0213    -15.745167     28.176833      0.000000
