                Name  4-char code   Latitude   Longitude  Elevation(m)
        Campo_Grande          102 -20.450000  -54.616667      551.0000
          Uberlandia          103 -18.900000  -48.283330      864.0000
             Alianca          104 -14.733333  -47.533333     1011.0000
         CAMPO_VERDE          105 -15.561667  -55.175000      745.0000
            Pantanal          106 -16.395500  -56.621833      140.0000
         Potosi_Mine          107  -9.230920  -62.863328      124.0000
     Repressa_Samuel          108  -8.755167  -63.459333      100.0000
         Flor_De_Oro          109 -13.553056  -61.013889      225.0000
         Banizoumbou          110  13.541167    2.664750      250.0000
               Lanai          111  20.735000 -156.921667       20.0000
      Coconut_Island          112  21.432900 -157.789717        2.0000
               LANAI          113  20.826150 -156.985000      133.0000
            OceolaNF          114  30.205278  -82.442778       51.0000
            JonesERC          115  31.230830  -84.471111       50.0000
         TallTimbers          116  30.664167  -84.238890       63.0000
       OkefenokeeNWR          117  30.741111  -82.128611       47.0000
             Bermuda          118  32.370000  -64.696111       10.0000
        Dry_Tortugas          119  24.628056  -82.871944        3.0000
            JUNGFRAU          120  46.547480    7.984993     3564.0000
    Ascension_Island          121  -7.976389  -14.414722       30.0000
           Windsor_B          122  42.283000  -83.083000      200.0000
            Barbados          123  13.148575  -59.624122      112.0000
              Tahiti          124 -17.576900 -149.606300       98.0000
                MALE          125   4.191667   73.529167        2.0000
             Tamihua          126  21.260717  -97.442450       10.0000
              Barrow          127  71.312200 -156.665000        8.0000
          T0_MAX_MEX          128  19.489944  -99.148500     2257.0000
          Quarzazate          129  30.939000   -6.909000     1150.0000
            Cartel_X          130  45.379333  -71.931333      300.0000
    REUNION_ST_DENIS          131 -20.901390   55.484740       93.0000
            Tromelin          132 -15.889167   54.517333        7.0000
           Rame_Head          133  50.317132   -4.219809      105.0000
               Dakar          134  14.394167  -16.958611       21.0000
               CRETE          135  35.337667   25.667833      140.0000
           Guadeloup          136  16.224920  -61.528378       39.0000
          Aire_Adour          137  43.700000    0.250000       80.0000
               Miami          138  25.722920  -80.279720       32.0000
            Sterling          139  38.983330  -77.466670       85.0000
          Sandy_Hook          140  40.448056  -73.993330        4.0000
           BONDVILLE          141  40.053333  -88.371944      212.0000
              Kaloma          142 -14.860000   24.827500     1230.0000
               Mfuwe          143 -13.256667   31.930833      550.0000
            MISR-JPL          144  34.199000 -118.174390      367.0000
             Senanga          145 -16.108889   23.293333     1025.0000
          Los_Fieros          146 -14.550000  -60.616667      734.0000
       LOS_FIEROS_98          147 -14.556000  -60.929000      208.0000
            NEW_YORK          148  40.770000  -74.000000       10.0000
             Zambezi          149 -13.533167   23.107194     1073.0000
            Cheritan          150  37.289478  -75.971778        5.0000
          Las_Cardes          151 -30.250833  -71.257778      280.0000
           CUIABA_01          152 -15.500000  -56.000000      250.0000
              Zenith          153  37.350000  -70.010000        0.0000
         Bratts_Lake          154  50.204238 -104.713013      586.7000
           Tombstone          155  31.742000 -110.050000     1408.0000
           CUIABA_02          156 -15.500000  -56.000000      250.0000
         Dalanzadgad          157  43.577222  104.419167     1470.0000
            Ulaangom          158  49.973035   92.078183      944.0000
              Venise          159  45.313900   12.508300       10.0000
          T1_MAX_MEX          160  19.703067  -98.981950     2272.0000
              Joberg          161 -26.186133   28.029167     1736.0000
              Manaus          162  -2.599080  -60.038640       93.0000
           Windsor_M          163  42.170000  -82.870000      190.0000
              Xanthi          164  41.146767   24.918950       54.0000
         Krasnoyarsk          165  55.983333   92.766667      202.0000
         San_Nicolas          166  33.256889 -119.486972      133.0000
             Sesheke          167 -17.480830   24.303889      951.0000
               Izana          168  28.309320  -16.499060     2401.0000
            Tenerife          169  28.033333  -16.633333       52.0000
          Lunar_Lake          170  38.390083 -115.988383     1749.0000
               Teide          171  28.270000  -16.639000     3555.0000
         Sioux_Falls          172  43.736481  -96.625991      505.0000
       Walker_Branch          173  35.958333  -84.287500      365.0000
            Niabrara          174  42.764833 -100.020000      730.0000
              Egbert          175  44.231543  -79.781414      264.0000
               Ispra          176  45.803050    8.626700      235.0000
               Mainz          177  49.999000    8.300000      150.0000
          Ben_McDhui          178 -30.710833   27.617500     2352.0000
